Method Name,Description
java.time.OffsetDateTime.getOffset,"Gets the zone offset, such as '+01:00'."
java.time.OffsetDateTime.isAfter,Checks if the instant of this date-time is after that of the specified date-time.
java.time.OffsetDateTime.isBefore,Checks if the instant of this date-time is before that of the specified date-time.
java.time.OffsetDateTime.isEqual,Checks if the instant of this date-time is equal to that of the specified date-time.
java.time.OffsetDateTime.minusDays,Returns a copy of thisOffsetDateTimewith the specified number of days subtracted.
java.time.OffsetDateTime.minusHours,Returns a copy of thisOffsetDateTimewith the specified number of hours subtracted.
java.time.OffsetDateTime.minusMinutes,Returns a copy of thisOffsetDateTimewith the specified number of minutes subtracted.
java.time.OffsetDateTime.minusMonths,Returns a copy of thisOffsetDateTimewith the specified number of months subtracted.
java.time.OffsetDateTime.minusNanos,Returns a copy of thisOffsetDateTimewith the specified number of nanoseconds subtracted.
java.time.OffsetDateTime.minusSeconds,Returns a copy of thisOffsetDateTimewith the specified number of seconds subtracted.
java.time.OffsetDateTime.minusWeeks,Returns a copy of thisOffsetDateTimewith the specified number of weeks subtracted.
java.time.OffsetDateTime.minusYears,Returns a copy of thisOffsetDateTimewith the specified number of years subtracted.
java.time.OffsetDateTime.of,"Obtains an instance ofOffsetDateTimefrom a year, month, day,  hour, minute, second, nanosecond and offset."
java.time.OffsetDateTime.of,"Obtains an instance ofOffsetDateTimefrom a date, time and offset."
java.time.OffsetDateTime.of,Obtains an instance ofOffsetDateTimefrom a date-time and offset.
java.time.OffsetDateTime.ofInstant,Obtains an instance ofOffsetDateTimefrom anInstantand zone ID.
java.time.OffsetDateTime.parse,Obtains an instance ofOffsetDateTimefrom a text string  such as2007-12-03T10:15:30+01:00.
java.time.OffsetDateTime.parse,Obtains an instance ofOffsetDateTimefrom a text string using a specific formatter.
java.time.OffsetDateTime.plusDays,Returns a copy of this OffsetDateTime with the specified number of days added.
java.time.OffsetDateTime.plusHours,Returns a copy of thisOffsetDateTimewith the specified number of hours added.
java.time.OffsetDateTime.plusMinutes,Returns a copy of thisOffsetDateTimewith the specified number of minutes added.
java.time.OffsetDateTime.plusMonths,Returns a copy of thisOffsetDateTimewith the specified number of months added.
java.time.OffsetDateTime.plusNanos,Returns a copy of thisOffsetDateTimewith the specified number of nanoseconds added.
java.time.OffsetDateTime.plusSeconds,Returns a copy of thisOffsetDateTimewith the specified number of seconds added.
java.time.OffsetDateTime.plusWeeks,Returns a copy of this OffsetDateTime with the specified number of weeks added.
java.time.OffsetDateTime.plusYears,Returns a copy of thisOffsetDateTimewith the specified number of years added.
java.time.OffsetDateTime.timeLineOrder,Gets a comparator that compares twoOffsetDateTimeinstances  based solely on the instant.
java.time.OffsetDateTime.toEpochSecond,Converts this date-time to the number of seconds from the epoch of 1970-01-01T00:00:00Z.
java.time.OffsetDateTime.toInstant,Converts this date-time to anInstant.
java.time.OffsetDateTime.toLocalDateTime,Gets theLocalDateTimepart of this date-time.
java.time.OffsetDateTime.toOffsetTime,Converts this date-time to anOffsetTime.
java.time.OffsetDateTime.toString,"Outputs this date-time as aString, such as2007-12-03T10:15:30+01:00."
java.time.OffsetDateTime.toZonedDateTime,Converts this date-time to aZonedDateTimeusing the offset as the zone ID.
java.time.OffsetDateTime.truncatedTo,Returns a copy of thisOffsetDateTimewith the time truncated.
java.time.OffsetDateTime.withDayOfMonth,Returns a copy of thisOffsetDateTimewith the day-of-month altered.
java.time.OffsetDateTime.withDayOfYear,Returns a copy of thisOffsetDateTimewith the day-of-year altered.
java.time.OffsetDateTime.withHour,Returns a copy of thisOffsetDateTimewith the hour-of-day altered.
java.time.OffsetDateTime.withMinute,Returns a copy of thisOffsetDateTimewith the minute-of-hour altered.
java.time.OffsetDateTime.withMonth,Returns a copy of thisOffsetDateTimewith the month-of-year altered.
java.time.OffsetDateTime.withNano,Returns a copy of thisOffsetDateTimewith the nano-of-second altered.
java.time.OffsetDateTime.withOffsetSameInstant,Returns a copy of thisOffsetDateTimewith the specified offset ensuring  that the result is at the same instant.
java.time.OffsetDateTime.withOffsetSameLocal,Returns a copy of thisOffsetDateTimewith the specified offset ensuring  that the result has the same local date-time.
java.time.OffsetDateTime.withSecond,Returns a copy of thisOffsetDateTimewith the second-of-minute altered.
java.time.OffsetDateTime.withYear,Returns a copy of thisOffsetDateTimewith the year altered.
java.time.OffsetTime.adjustInto,Adjusts the specified temporal object to have the same offset and time  as this object.
java.time.OffsetTime.atDate,Combines this time with a date to create anOffsetDateTime.
java.time.OffsetTime.compareTo,Compares thisOffsetTimeto another time.
java.time.OffsetTime.from,Obtains an instance ofOffsetTimefrom a temporal object.
java.time.OffsetTime.isAfter,Checks if the instant of thisOffsetTimeis after that of the  specified time applying both times to a common date.
java.time.OffsetTime.isBefore,Checks if the instant of thisOffsetTimeis before that of the  specified time applying both times to a common date.
java.time.OffsetTime.isEqual,Checks if the instant of thisOffsetTimeis equal to that of the  specified time applying both times to a common date.
java.time.OffsetTime.minusHours,Returns a copy of thisOffsetTimewith the specified number of hours subtracted.
java.time.OffsetTime.minusMinutes,Returns a copy of thisOffsetTimewith the specified number of minutes subtracted.
java.time.OffsetTime.minusNanos,Returns a copy of thisOffsetTimewith the specified number of nanoseconds subtracted.
java.time.OffsetTime.minusSeconds,Returns a copy of thisOffsetTimewith the specified number of seconds subtracted.
java.time.OffsetTime.of,"Obtains an instance ofOffsetTimefrom an hour, minute, second and nanosecond."
java.time.OffsetTime.of,Obtains an instance ofOffsetTimefrom a local time and an offset.
java.time.OffsetTime.ofInstant,Obtains an instance ofOffsetTimefrom anInstantand zone ID.
java.time.OffsetTime.parse,Obtains an instance ofOffsetTimefrom a text string such as10:15:30+01:00.
java.time.OffsetTime.parse,Obtains an instance ofOffsetTimefrom a text string using a specific formatter.
java.time.OffsetTime.plusHours,Returns a copy of thisOffsetTimewith the specified number of hours added.
java.time.OffsetTime.plusMinutes,Returns a copy of thisOffsetTimewith the specified number of minutes added.
java.time.OffsetTime.plusNanos,Returns a copy of thisOffsetTimewith the specified number of nanoseconds added.
java.time.OffsetTime.plusSeconds,Returns a copy of thisOffsetTimewith the specified number of seconds added.
java.time.OffsetTime.toEpochSecond,Converts thisOffsetTimeto the number of seconds since the epoch  of 1970-01-01T00:00:00Z.
java.time.OffsetTime.toString,"Outputs this time as aString, such as10:15:30+01:00."
java.time.OffsetTime.truncatedTo,Returns a copy of thisOffsetTimewith the time truncated.
java.time.OffsetTime.withHour,Returns a copy of thisOffsetTimewith the hour-of-day altered.
java.time.OffsetTime.withMinute,Returns a copy of thisOffsetTimewith the minute-of-hour altered.
java.time.OffsetTime.withNano,Returns a copy of thisOffsetTimewith the nano-of-second altered.
java.time.OffsetTime.withOffsetSameInstant,Returns a copy of thisOffsetTimewith the specified offset ensuring  that the result is at the same instant on an implied day.
java.time.OffsetTime.withOffsetSameLocal,Returns a copy of thisOffsetTimewith the specified offset ensuring  that the result has the same local time.
java.time.OffsetTime.withSecond,Returns a copy of thisOffsetTimewith the second-of-minute altered.
java.time.Period.addTo,Adds this period to the specified temporal object.
java.time.Period.between,"Obtains aPeriodconsisting of the number of years, months,  and days between two dates."
java.time.Period.equals,Checks if this period is equal to another period.
java.time.Period.from,Obtains an instance ofPeriodfrom a temporal amount.
java.time.Period.getChronology,"Gets the chronology of this period, which is the ISO calendar system."
java.time.Period.getDays,Gets the amount of days of this period.
java.time.Period.getMonths,Gets the amount of months of this period.
java.time.Period.getUnits,Gets the set of units supported by this period.
java.time.Period.getYears,Gets the amount of years of this period.
java.time.Period.hashCode,A hash code for this period.
java.time.Period.isNegative,Checks if any of the three units of this period are negative.
java.time.Period.isZero,Checks if all three units of this period are zero.
java.time.Period.minus,Returns a copy of this period with the specified period subtracted.
java.time.Period.minusDays,Returns a copy of this period with the specified days subtracted.
java.time.Period.minusMonths,Returns a copy of this period with the specified months subtracted.
java.time.Period.minusYears,Returns a copy of this period with the specified years subtracted.
java.time.Period.multipliedBy,Returns a new instance with each element in this period multiplied  by the specified scalar.
java.time.Period.negated,Returns a new instance with each amount in this period negated.
java.time.Period.normalized,Returns a copy of this period with the years and months normalized.
java.time.Period.of,"Obtains aPeriodrepresenting a number of years, months and days."
java.time.Period.ofDays,Obtains aPeriodrepresenting a number of days.
java.time.Period.ofMonths,Obtains aPeriodrepresenting a number of months.
java.time.Period.ofWeeks,Obtains aPeriodrepresenting a number of weeks.
java.time.Period.ofYears,Obtains aPeriodrepresenting a number of years.
java.time.Period.parse,Obtains aPeriodfrom a text string such asPnYnMnD.
java.time.Period.plus,Returns a copy of this period with the specified period added.
java.time.Period.plusDays,Returns a copy of this period with the specified days added.
java.time.Period.plusMonths,Returns a copy of this period with the specified months added.
java.time.Period.plusYears,Returns a copy of this period with the specified years added.
java.time.Period.subtractFrom,Subtracts this period from the specified temporal object.
java.time.Period.toString,"Outputs this period as aString, such asP6Y3M1D."
java.time.Period.toTotalMonths,Gets the total number of months in this period.
java.time.Period.withDays,Returns a copy of this period with the specified amount of days.
java.time.Period.withMonths,Returns a copy of this period with the specified amount of months.
java.time.Period.withYears,Returns a copy of this period with the specified amount of years.
java.time.Year.adjustInto,Adjusts the specified temporal object to have this year.
java.time.Year.atDay,Combines this year with a day-of-year to create aLocalDate.
java.time.Year.atMonth,Combines this year with a month to create aYearMonth.
java.time.Year.atMonthDay,Combines this year with a month-day to create aLocalDate.
java.time.Year.compareTo,Compares this year to another year.
java.time.Year.equals,Checks if this year is equal to another year.
java.time.Year.format,Formats this year using the specified formatter.
java.time.Year.from,Obtains an instance ofYearfrom a temporal object.
java.time.Year.get,Gets the value of the specified field from this year as anint.
java.time.Year.getLong,Gets the value of the specified field from this year as along.
java.time.Year.getValue,Gets the year value.
java.time.Year.hashCode,A hash code for this year.
java.time.Year.isAfter,Checks if this year is after the specified year.
java.time.Year.isBefore,Checks if this year is before the specified year.
java.time.Year.isValidMonthDay,Checks if the month-day is valid for this year.
java.time.Year.length,Gets the length of this year in days.
java.time.Year.minus,Returns a copy of this year with the specified amount subtracted.
java.time.Year.minusYears,Returns a copy of thisYearwith the specified number of years subtracted.
java.time.Year.now,Obtains the current year from the system clock in the default time-zone.
java.time.Year.now,Obtains the current year from the specified clock.
java.time.Year.now,Obtains the current year from the system clock in the specified time-zone.
java.time.Year.of,Obtains an instance ofYear.
java.time.Year.parse,Obtains an instance ofYearfrom a text string such as2007.
java.time.Year.parse,Obtains an instance ofYearfrom a text string using a specific formatter.
java.time.Year.plus,Returns a copy of this year with the specified amount added.
java.time.Year.plusYears,Returns a copy of thisYearwith the specified number of years added.
java.time.Year.query,Queries this year using the specified query.
java.time.Year.toString,Outputs this year as aString.
java.time.Year.until,Calculates the amount of time until another year in terms of the specified unit.
java.time.Year.with,Returns an adjusted copy of this year.
java.time.Year.with,Returns a copy of this year with the specified field set to a new value.
java.time.YearMonth.adjustInto,Adjusts the specified temporal object to have this year-month.
java.time.YearMonth.atDay,Combines this year-month with a day-of-month to create aLocalDate.
java.time.YearMonth.atEndOfMonth,Returns aLocalDateat the end of the month.
java.time.YearMonth.compareTo,Compares this year-month to another year-month.
java.time.YearMonth.equals,Checks if this year-month is equal to another year-month.
java.time.YearMonth.format,Formats this year-month using the specified formatter.
java.time.YearMonth.from,Obtains an instance ofYearMonthfrom a temporal object.
java.time.YearMonth.get,Gets the value of the specified field from this year-month as anint.
java.time.YearMonth.getLong,Gets the value of the specified field from this year-month as along.
java.time.YearMonth.hashCode,A hash code for this year-month.
java.time.YearMonth.isAfter,Checks if this year-month is after the specified year-month.
java.time.YearMonth.isBefore,Checks if this year-month is before the specified year-month.
java.time.YearMonth.isValidDay,Checks if the day-of-month is valid for this year-month.
java.time.YearMonth.lengthOfMonth,"Returns the length of the month, taking account of the year."
java.time.YearMonth.lengthOfYear,Returns the length of the year.
java.time.YearMonth.minus,Returns a copy of this year-month with the specified amount subtracted.
java.time.YearMonth.minusMonths,Returns a copy of thisYearMonthwith the specified number of months subtracted.
java.time.YearMonth.minusYears,Returns a copy of thisYearMonthwith the specified number of years subtracted.
java.time.YearMonth.now,Obtains the current year-month from the system clock in the default time-zone.
java.time.YearMonth.now,Obtains the current year-month from the specified clock.
java.time.YearMonth.now,Obtains the current year-month from the system clock in the specified time-zone.
java.time.YearMonth.of,Obtains an instance ofYearMonthfrom a year and month.
java.time.YearMonth.parse,Obtains an instance ofYearMonthfrom a text string such as2007-12.
java.time.YearMonth.parse,Obtains an instance ofYearMonthfrom a text string using a specific formatter.
java.time.YearMonth.plus,Returns a copy of this year-month with the specified amount added.
java.time.YearMonth.plusMonths,Returns a copy of thisYearMonthwith the specified number of months added.
java.time.YearMonth.plusYears,Returns a copy of thisYearMonthwith the specified number of years added.
java.time.YearMonth.query,Queries this year-month using the specified query.
java.time.YearMonth.toString,"Outputs this year-month as aString, such as2007-12."
java.time.YearMonth.until,Calculates the amount of time until another year-month in terms of the specified unit.
java.time.YearMonth.with,Returns an adjusted copy of this year-month.
java.time.YearMonth.with,Returns a copy of this year-month with the specified field set to a new value.
java.time.YearMonth.withMonth,Returns a copy of thisYearMonthwith the month-of-year altered.
java.time.YearMonth.withYear,Returns a copy of thisYearMonthwith the year altered.
java.time.ZonedDateTime.from,Obtains an instance ofZonedDateTimefrom a temporal object.
java.time.ZonedDateTime.getZone,"Gets the time-zone, such as 'Europe/Paris'."
java.time.ZonedDateTime.minusDays,Returns a copy of thisZonedDateTimewith the specified number of days subtracted.
java.time.ZonedDateTime.minusHours,Returns a copy of thisZonedDateTimewith the specified number of hours subtracted.
java.time.ZonedDateTime.minusMinutes,Returns a copy of thisZonedDateTimewith the specified number of minutes subtracted.
java.time.ZonedDateTime.minusMonths,Returns a copy of thisZonedDateTimewith the specified number of months subtracted.
java.time.ZonedDateTime.minusNanos,Returns a copy of thisZonedDateTimewith the specified number of nanoseconds subtracted.
java.time.ZonedDateTime.minusSeconds,Returns a copy of thisZonedDateTimewith the specified number of seconds subtracted.
java.time.ZonedDateTime.minusWeeks,Returns a copy of thisZonedDateTimewith the specified number of weeks subtracted.
java.time.ZonedDateTime.minusYears,Returns a copy of thisZonedDateTimewith the specified number of years subtracted.
java.time.ZonedDateTime.of,"Obtains an instance ofZonedDateTimefrom a year, month, day,  hour, minute, second, nanosecond and time-zone."
java.time.ZonedDateTime.of,Obtains an instance ofZonedDateTimefrom a local date and time.
java.time.ZonedDateTime.of,Obtains an instance ofZonedDateTimefrom a local date-time.
java.time.ZonedDateTime.ofInstant,Obtains an instance ofZonedDateTimefrom anInstant.
java.time.ZonedDateTime.ofInstant,Obtains an instance ofZonedDateTimefrom the instant formed by combining  the local date-time and offset.
java.time.ZonedDateTime.ofLocal,Obtains an instance ofZonedDateTimefrom a local date-time  using the preferred offset if possible.
java.time.ZonedDateTime.ofStrict,"Obtains an instance ofZonedDateTimestrictly validating the  combination of local date-time, offset and zone ID."
java.time.ZonedDateTime.parse,Obtains an instance ofZonedDateTimefrom a text string such as2007-12-03T10:15:30+01:00[Europe/Paris].
java.time.ZonedDateTime.parse,Obtains an instance ofZonedDateTimefrom a text string using a specific formatter.
java.time.ZonedDateTime.plusDays,Returns a copy of thisZonedDateTimewith the specified number of days added.
java.time.ZonedDateTime.plusHours,Returns a copy of thisZonedDateTimewith the specified number of hours added.
java.time.ZonedDateTime.plusMinutes,Returns a copy of thisZonedDateTimewith the specified number of minutes added.
java.time.ZonedDateTime.plusMonths,Returns a copy of thisZonedDateTimewith the specified number of months added.
java.time.ZonedDateTime.plusNanos,Returns a copy of thisZonedDateTimewith the specified number of nanoseconds added.
java.time.ZonedDateTime.plusSeconds,Returns a copy of thisZonedDateTimewith the specified number of seconds added.
java.time.ZonedDateTime.plusWeeks,Returns a copy of thisZonedDateTimewith the specified number of weeks added.
java.time.ZonedDateTime.plusYears,Returns a copy of thisZonedDateTimewith the specified number of years added.
java.time.ZonedDateTime.toOffsetDateTime,Converts this date-time to anOffsetDateTime.
java.time.ZonedDateTime.toString,"Outputs this date-time as aString, such as2007-12-03T10:15:30+01:00[Europe/Paris]."
java.time.ZonedDateTime.truncatedTo,Returns a copy of thisZonedDateTimewith the time truncated.
java.time.ZonedDateTime.withDayOfMonth,Returns a copy of thisZonedDateTimewith the day-of-month altered.
java.time.ZonedDateTime.withDayOfYear,Returns a copy of thisZonedDateTimewith the day-of-year altered.
java.time.ZonedDateTime.withEarlierOffsetAtOverlap,Returns a copy of this date-time changing the zone offset to the  earlier of the two valid offsets at a local time-line overlap.
java.time.ZonedDateTime.withFixedOffsetZone,Returns a copy of this date-time with the zone ID set to the offset.
java.time.ZonedDateTime.withHour,Returns a copy of thisZonedDateTimewith the hour-of-day altered.
java.time.ZonedDateTime.withLaterOffsetAtOverlap,Returns a copy of this date-time changing the zone offset to the  later of the two valid offsets at a local time-line overlap.
java.time.ZonedDateTime.withMinute,Returns a copy of thisZonedDateTimewith the minute-of-hour altered.
java.time.ZonedDateTime.withMonth,Returns a copy of thisZonedDateTimewith the month-of-year altered.
java.time.ZonedDateTime.withNano,Returns a copy of thisZonedDateTimewith the nano-of-second altered.
java.time.ZonedDateTime.withSecond,Returns a copy of thisZonedDateTimewith the second-of-minute altered.
java.time.ZonedDateTime.withYear,Returns a copy of thisZonedDateTimewith the year altered.
java.time.ZonedDateTime.withZoneSameInstant,"Returns a copy of this date-time with a different time-zone,  retaining the instant."
java.time.ZonedDateTime.withZoneSameLocal,"Returns a copy of this date-time with a different time-zone,  retaining the local date-time if possible."
java.time.ZoneId.equals,Checks if this time-zone ID is equal to another time-zone ID.
java.time.ZoneId.from,Obtains an instance ofZoneIdfrom a temporal object.
java.time.ZoneId.getAvailableZoneIds,Gets the set of available zone IDs.
java.time.ZoneId.getDisplayName,"Gets the textual representation of the zone, such as 'British Time' or  '+02:00'."
java.time.ZoneId.getId,Gets the unique time-zone ID.
java.time.ZoneId.getRules,Gets the time-zone rules for this ID allowing calculations to be performed.
java.time.ZoneId.hashCode,A hash code for this time-zone ID.
java.time.ZoneId.normalized,"Normalizes the time-zone ID, returning aZoneOffsetwhere possible."
java.time.ZoneId.of,Obtains an instance ofZoneIdfrom an ID ensuring that the  ID is valid and available for use.
java.time.ZoneId.of,Obtains an instance ofZoneIdusing its ID using a map  of aliases to supplement the standard zone IDs.
java.time.ZoneId.ofOffset,Obtains an instance ofZoneIdwrapping an offset.
java.time.ZoneId.systemDefault,Gets the system default time-zone.
java.time.ZoneId.toString,"Outputs this zone as aString, using the ID."
java.time.ZoneOffset.adjustInto,Adjusts the specified temporal object to have the same offset as this object.
java.time.ZoneOffset.compareTo,Compares this offset to another offset in descending order.
java.time.ZoneOffset.equals,Checks if this offset is equal to another offset.
java.time.ZoneOffset.from,Obtains an instance ofZoneOffsetfrom a temporal object.
java.time.ZoneOffset.get,Gets the value of the specified field from this offset as anint.
java.time.ZoneOffset.getId,Gets the normalized zone offset ID.
java.time.ZoneOffset.getLong,Gets the value of the specified field from this offset as along.
java.time.ZoneOffset.getRules,Gets the associated time-zone rules.
java.time.ZoneOffset.getTotalSeconds,Gets the total zone offset in seconds.
java.time.ZoneOffset.hashCode,A hash code for this offset.
java.time.ZoneOffset.of,Obtains an instance ofZoneOffsetusing the ID.
java.time.ZoneOffset.ofHours,Obtains an instance ofZoneOffsetusing an offset in hours.
java.time.ZoneOffset.ofHoursMinutes,Obtains an instance ofZoneOffsetusing an offset in  hours and minutes.
java.time.ZoneOffset.ofHoursMinutesSeconds,"Obtains an instance ofZoneOffsetusing an offset in  hours, minutes and seconds."
java.time.ZoneOffset.ofTotalSeconds,Obtains an instance ofZoneOffsetspecifying the total offset in seconds
java.time.ZoneOffset.query,Queries this offset using the specified query.
java.time.ZoneOffset.toString,"Outputs this offset as aString, using the normalized ID."
java.time.chrono.AbstractChronology.compareTo,Compares this chronology to another chronology.
java.time.chrono.AbstractChronology.equals,Checks if this chronology is equal to another chronology.
java.time.chrono.AbstractChronology.hashCode,A hash code for this chronology.
java.time.chrono.AbstractChronology.resolveDate,Resolves parsedChronoFieldvalues into a date during parsing.
java.time.chrono.AbstractChronology.toString,"Outputs this chronology as aString, using the chronology ID."
java.time.chrono.HijrahChronology.date,"Obtains a local date in Hijrah calendar system from the  proleptic-year, month-of-year and day-of-month fields."
java.time.chrono.HijrahChronology.date,"Obtains a local date in Hijrah calendar system from the  era, year-of-era, month-of-year and day-of-month fields."
java.time.chrono.HijrahChronology.date,Obtains a local date in this chronology from another temporal object.
java.time.chrono.HijrahChronology.dateEpochDay,Obtains a local date in the Hijrah calendar system from the epoch-day.
java.time.chrono.HijrahChronology.dateNow,Obtains the current local date in this chronology from the system clock in the default time-zone.
java.time.chrono.HijrahChronology.dateNow,Obtains the current local date in this chronology from the specified clock.
java.time.chrono.HijrahChronology.dateNow,Obtains the current local date in this chronology from the system clock in the specified time-zone.
java.time.chrono.HijrahChronology.dateYearDay,Obtains a local date in Hijrah calendar system from the  proleptic-year and day-of-year fields.
java.time.chrono.HijrahChronology.dateYearDay,"Obtains a local date in Hijrah calendar system from the  era, year-of-era and day-of-year fields."
java.time.chrono.HijrahChronology.eraOf,Creates the HijrahEra object from the numeric value.
java.time.chrono.HijrahChronology.eras,Gets the list of eras for the chronology.
java.time.chrono.HijrahChronology.getCalendarType,Gets the calendar type of the Islamic calendar.
java.time.chrono.HijrahChronology.getId,Gets the ID of the chronology.
java.time.chrono.HijrahChronology.isLeapYear,Checks if the specified year is a leap year.
java.time.chrono.HijrahChronology.localDateTime,Obtains a local date-time in this chronology from another temporal object.
java.time.chrono.HijrahChronology.prolepticYear,Calculates the proleptic-year given the era and year-of-era.
java.time.chrono.HijrahChronology.zonedDateTime,Obtains aChronoZonedDateTimein this chronology from anInstant.
java.time.chrono.HijrahChronology.zonedDateTime,Obtains aChronoZonedDateTimein this chronology from another temporal object.
java.time.chrono.HijrahDate.atTime,Combines this date with a time to create aChronoLocalDateTime.
java.time.chrono.HijrahDate.equals,"Compares this date to another date, including the chronology."
java.time.chrono.HijrahDate.from,Obtains aHijrahDateof the Islamic Umm Al-Qura calendar from a temporal object.
java.time.chrono.HijrahDate.getChronology,"Gets the chronology of this date, which is the Hijrah calendar system."
java.time.chrono.HijrahDate.getLong,Gets the value of the specified field as along.
java.time.chrono.HijrahDate.isLeapYear,"Checks if the year is a leap year, according to the Hijrah calendar system rules."
java.time.chrono.HijrahDate.minus,Returns an object of the same type as this object with the specified period subtracted.
java.time.chrono.HijrahDate.minus,Returns an object of the same type as this object with an amount subtracted.
java.time.chrono.HijrahDate.now,Obtains the currentHijrahDateof the Islamic Umm Al-Qura calendar  in the default time-zone.
java.time.chrono.HijrahDate.now,Obtains the currentHijrahDateof the Islamic Umm Al-Qura calendar  from the specified clock.
java.time.chrono.HijrahDate.now,Obtains the currentHijrahDateof the Islamic Umm Al-Qura calendar  in the specified time-zone.
java.time.chrono.HijrahDate.of,"Obtains aHijrahDateof the Islamic Umm Al-Qura calendar  from the proleptic-year, month-of-year and day-of-month fields."
java.time.chrono.HijrahDate.plus,Returns an object of the same type as this object with the specified period added.
java.time.chrono.HijrahDate.plus,Returns an object of the same type as this object with an amount added.
java.time.chrono.HijrahDate.until,Calculates the period between this date and another date as aChronoPeriod.
java.time.chrono.HijrahDate.with,Returns an adjusted object of the same type as this object with the adjustment made.
java.time.chrono.HijrahDate.with,Returns an object of the same type as this object with the specified field altered.
java.time.chrono.HijrahDate.withVariant,Returns aHijrahDatewith the Chronology requested.
java.time.chrono.IsoChronology.date,"Obtains an ISO local date from the proleptic-year, month-of-year  and day-of-month fields."
java.time.chrono.IsoChronology.date,"Obtains an ISO local date from the era, year-of-era, month-of-year  and day-of-month fields."
java.time.chrono.IsoChronology.date,Obtains an ISO local date from another date-time object.
java.time.chrono.IsoChronology.dateEpochDay,Obtains an ISO local date from the epoch-day.
java.time.chrono.IsoChronology.dateNow,Obtains the current ISO local date from the system clock in the default time-zone.
java.time.chrono.IsoChronology.dateNow,Obtains the current ISO local date from the specified clock.
java.time.chrono.IsoChronology.dateNow,Obtains the current ISO local date from the system clock in the specified time-zone.
java.time.chrono.IsoChronology.dateYearDay,Obtains an ISO local date from the proleptic-year and day-of-year fields.
java.time.chrono.IsoChronology.dateYearDay,"Obtains an ISO local date from the era, year-of-era and day-of-year fields."
java.time.chrono.IsoChronology.epochSecond,Gets the number of seconds from the epoch of 1970-01-01T00:00:00Z.
java.time.chrono.IsoChronology.eraOf,Creates the chronology era object from the numeric value.
java.time.chrono.IsoChronology.getCalendarType,Gets the calendar type of the underlying calendar system - 'iso8601'.
java.time.chrono.IsoChronology.getId,Gets the ID of the chronology - 'ISO'.
java.time.chrono.IsoChronology.localDateTime,Obtains an ISO local date-time from another date-time object.
java.time.chrono.IsoChronology.period,"Obtains a period for this chronology based on years, months and days."
java.time.chrono.IsoChronology.zonedDateTime,Obtains an ISO zoned date-time in this chronology from anInstant.
java.time.chrono.IsoChronology.zonedDateTime,Obtains an ISO zoned date-time from another date-time object.
java.time.chrono.JapaneseChronology.date,"Obtains a local date in Japanese calendar system from the  proleptic-year, month-of-year and day-of-month fields."
java.time.chrono.JapaneseChronology.date,"Obtains a local date in Japanese calendar system from the  era, year-of-era, month-of-year and day-of-month fields."
java.time.chrono.JapaneseChronology.dateEpochDay,Obtains a local date in the Japanese calendar system from the epoch-day.
java.time.chrono.JapaneseChronology.dateYearDay,Obtains a local date in Japanese calendar system from the  proleptic-year and day-of-year fields.
java.time.chrono.JapaneseChronology.dateYearDay,"Obtains a local date in Japanese calendar system from the  era, year-of-era and day-of-year fields."
java.time.chrono.JapaneseChronology.eraOf,Returns the calendar system era object from the given numeric value.
java.time.chrono.JapaneseChronology.getCalendarType,Gets the calendar type of the underlying calendar system - 'japanese'.
java.time.chrono.JapaneseChronology.getId,Gets the ID of the chronology - 'Japanese'.
java.time.chrono.JapaneseDate.from,Obtains aJapaneseDatefrom a temporal object.
java.time.chrono.JapaneseDate.getChronology,"Gets the chronology of this date, which is the Japanese calendar system."
java.time.chrono.JapaneseDate.now,Obtains the currentJapaneseDatefrom the system clock in the default time-zone.
java.time.chrono.JapaneseDate.now,Obtains the currentJapaneseDatefrom the specified clock.
java.time.chrono.JapaneseDate.now,Obtains the currentJapaneseDatefrom the system clock in the specified time-zone.
java.time.chrono.JapaneseDate.of,"Obtains aJapaneseDaterepresenting a date in the Japanese calendar  system from the proleptic-year, month-of-year and day-of-month fields."
java.time.chrono.JapaneseDate.of,"Obtains aJapaneseDaterepresenting a date in the Japanese calendar  system from the era, year-of-era, month-of-year and day-of-month fields."
java.time.chrono.JapaneseEra.getDisplayName,Gets the textual representation of this era.
java.time.chrono.JapaneseEra.getValue,Gets the numeric eraintvalue.
java.time.chrono.JapaneseEra.of,Obtains an instance ofJapaneseErafrom anintvalue.
java.time.chrono.JapaneseEra.valueOf,Returns theJapaneseErawith the name.
java.time.chrono.JapaneseEra.values,Returns an array of JapaneseEras.
java.time.chrono.MinguoChronology.date,"Obtains a local date in Minguo calendar system from the  proleptic-year, month-of-year and day-of-month fields."
java.time.chrono.MinguoChronology.date,"Obtains a local date in Minguo calendar system from the  era, year-of-era, month-of-year and day-of-month fields."
java.time.chrono.MinguoChronology.dateEpochDay,Obtains a local date in the Minguo calendar system from the epoch-day.
java.time.chrono.MinguoChronology.dateYearDay,Obtains a local date in Minguo calendar system from the  proleptic-year and day-of-year fields.
java.time.chrono.MinguoChronology.dateYearDay,"Obtains a local date in Minguo calendar system from the  era, year-of-era and day-of-year fields."
java.time.chrono.MinguoChronology.getCalendarType,Gets the calendar type of the underlying calendar system - 'roc'.
java.time.chrono.MinguoChronology.getId,Gets the ID of the chronology - 'Minguo'.
java.time.chrono.MinguoDate.from,Obtains aMinguoDatefrom a temporal object.
java.time.chrono.MinguoDate.getChronology,"Gets the chronology of this date, which is the Minguo calendar system."
